Name,Sector,Sub-Sector,Market Cap,Return on Equity,ROCE,Cash Flow Margin,EBITDA Margin,Net Profit Margin,Return on Assets,Asset Turnover Ratio,Working Capital Turnover Ratio,Current Ratio,Debt to Equity,PE Ratio,PB Ratio,Sector PE,Sector PB,PS Ratio,Sector Dividend Yield,Return on Investment,MF Holding Change 3M,MF Holding Change 6M,FII Holding Change 3M,FII Holding Change 6M,DII Holding Change 3M,DII Holding Change 6M,EPS (Q),Dividend Per Share,Debt to Equity ,Debt to Asset,R1,R2
ELANTAS Beck India Ltd,Industrials,Electrical Components & Equipments,10367.27,20.64,24.35,18.21,26.76,18.73,17.18,0.92,1.31,6.12,0,75.51,14.16,48.93,6.81,14.15,0.58,18.83,-0.01,0.04,0,-0.02,-0.02,0.01,39.19,5,0,0,1,2
Graphite India Ltd,Industrials,Electrical Components & Equipments,10190.79,15.28,17.95,16.17,26.48,19.2,12.15,0.63,1.23,4.56,0.03,12.61,1.81,48.93,6.81,2.42,0.58,14.25,-1.16,-1.95,0.2,0.03,-1.39,-2.17,12.11,11,0.03,0.03,1,2
shipping corporation of India Ltd,Industrials,Building Products - Pipes,10121.81,9.4,8.89,18.65,32.01,12.74,5.77,0.45,16.9,1.25,0.39,14.91,1.34,48.93,6.81,1.9,0.58,8.13,-4.5,-3.41,1.06,0.96,-5.05,-4.27,6.26,0.5,0.39,0.24,0,1
Kirloskar Pneumatic Company Ltd,Industrials,Logistics,10025.76,15.5,18.94,13.67,16.06,9.93,10.6,1.07,2.9,2.16,0,75.22,10.84,48.93,6.81,7.47,0.58,14.64,0.33,-0.07,1.59,3.82,0.35,-0.28,10.42,6.5,0,0,1,1
Isgec Heavy Engineering Ltd,Industrials,Heavy Machinery,9728.69,9.73,13.23,11.77,8.72,3.9,3.28,0.84,5.01,1.28,0.31,39.93,3.72,48.93,6.81,1.56,0.58,9.55,1.88,1.82,0.08,0.39,2.44,2.44,8.9,4,0.31,0.1,0,1
ITD Cementation India Ltd,Industrials,Industrial Machinery,9636.42,19.98,35.26,9.05,10.4,3.52,5.01,1.42,32.09,1.08,0.59,35.2,6.43,48.93,6.81,1.24,0.58,20.6,-0.09,0.36,0.99,3.92,-0.12,0.49,5.83,1.7,0.59,0.15,0,1
Gujarat Pipavav Port Ltd,Industrials,Construction & Engineering,9468.17,14.79,19.06,45.56,56.34,31.88,11.78,0.37,1.41,3.04,0.03,27.68,4.09,48.93,6.81,8.83,0.58,14.68,-0.49,-0.45,1.27,1.5,-0.63,-0.96,2.27,7.3,0.03,0.03,1,1
ESAB India Ltd,Industrials,Ports,9261.9,57.56,69.58,11.28,18.74,13.04,31.8,2.44,7.76,1.75,0.01,56.83,30.26,48.93,6.81,7.41,0.58,52.63,0.09,0.23,0.13,0.4,-0.01,0,28.88,86,0.01,0.01,1,2
Cera Sanitaryware Ltd,Industrials,Construction & Engineering,9258.2,18.81,22.16,12.17,18.63,12.33,13.57,1.1,2.02,3.74,0.03,38.74,6.81,48.93,6.81,4.77,0.58,17.45,-1.2,-0.73,1.44,0.97,-1.24,-0.56,36.18,60,0.03,0.02,1,2
Power Mech Projects Ltd,Industrials,Building Products - Ceramics,8999.26,15.92,22.15,4.83,12.29,5.86,7.49,1.28,3.55,2.04,0.22,36.28,4.89,48.93,6.81,2.13,0.58,15.3,-,-,-,-,-,-,19.02,1,0.22,0.11,1,1
Shakti Pumps (India) Ltd,Industrials,Industrial Machinery,8918.42,24.15,27.35,3.96,16.62,10.31,13.03,1.26,3.3,1.82,0.11,62.93,11.8,48.93,6.81,6.49,0.58,19.18,-0.04,-1.72,1.05,2.59,-0.06,-1.9,50.62,4,0.11,0.06,1,2
HG Infra Engineering Ltd,Industrials,Rail,8666.45,24.34,26.27,-5.74,20.28,9.95,10.45,1.05,4.6,1.74,0.62,16.09,3.53,48.93,6.81,1.6,0.58,19.04,0.58,0.54,0.56,0.92,0.57,0.21,24.94,1.5,0.62,0.28,1,1
Lloyds Engineering Works Ltd,Industrials,Construction & Engineering,8574.82,26.33,24.18,-7.12,17.17,12.64,16.95,1.34,2.8,3.21,0.18,107.4,20.85,48.93,6.81,13.57,0.58,17.27,-,-,-,-,-,-,0.24,0.2,0.18,0.13,1,2
Texmaco Rail & Engineering Ltd,Industrials,Industrial Machinery,8517.84,5.78,10.34,2.68,9.32,3.17,2.99,0.94,2.28,2.61,0.25,75.24,3.37,48.93,6.81,2.38,0.58,7.78,-0.68,-0.02,-1.22,-3.18,-0.23,0.41,1.82,0.5,0.25,0.15,0,1
Azad Engineering Ltd,Industrials,Renewable Energy Equipment & Services,8418.58,13.8,18.32,-1.86,39.86,15.71,8.45,0.54,1.62,4.29,0.06,143.74,13.05,48.93,6.81,22.58,0.58,15.46,2.31,1.16,0.05,2.76,2.31,0.74,2.9,0,0.06,0.05,1,1
Diamond Power Infrastructure Ltd,Industrials,Industrial Machinery,8415.2,,1.71,7.97,12.55,4.95,1.16,0.24,3.06,1.9,,494.43,-8.65,48.93,6.81,24.45,0.58,-,0,0,-0.05,0,0,0,3.14,0,-0.33,0.21,0,1
Maharashtra Seamless Ltd,Industrials,Building Products - Pipes,8402.42,18.11,20,18.78,24.18,17.15,15.29,0.89,1.9,8.4,0,8.83,1.47,48.93,6.81,1.51,0.58,16.75,-0.63,1.02,-1.26,-3.99,-1,0.43,16.42,10,0,0,1,2
HEG Ltd,Industrials,Electrical Components & Equipments,8336.63,7.16,9.51,23.38,23.14,11.9,5.47,0.46,1.75,2.25,0.14,26.75,1.88,48.93,6.81,3.18,0.58,6.88,0.28,3.59,0.87,0.06,-0.29,2.42,1.19,4.5,0.14,0.11,0,1
Kama Holdings Ltd,Industrials,Construction & Engineering,8254.66,7.55,11.38,15.76,19.17,6.48,4.31,0.66,9.62,1.34,0.41,9.45,0.67,48.93,6.81,0.61,0.58,5.04,0,0,0.05,-0.1,0,0,39.15,101,0.41,0.24,0,1
PNC Infratech Ltd,Industrials,Electrical Components & Equipments,8205.41,19.21,14.29,-2.65,23.89,10.42,6.44,0.62,4.67,2.07,1.55,9.02,1.58,48.93,6.81,0.94,0.58,11.88,-0.78,-1.53,-0.78,-1.8,-0.86,-1.45,22.42,0.6,1.55,0.51,0,2
Transport Corporation of India Ltd,Industrials,Conglomerates,8204.67,18.61,18.1,7.22,12.78,8.46,15.24,1.8,4.68,4.54,0.1,23.39,4.03,48.93,6.81,1.98,0.58,16.32,0.11,0.08,0.1,0.34,0.18,0.18,13.68,7,0.1,0.08,1,1
HMT Ltd,Industrials,Logistics,8190.23,,-61.36,39.41,90.54,88.01,-17.93,4.23,-0.67,0.13,,3.21,-1.9,48.93,6.81,2.83,0.58,-,0,0,0,0,0,0,-0.81,0,-0.87,5.29,0,2
Balu Forge Industries Ltd,Industrials,Logistics,8144.12,24.96,22.03,-3.15,22.71,16.43,17.3,1.05,2.29,3.69,0.09,86.94,14.73,48.93,6.81,14.28,0.58,17.83,0,0,1.92,0.72,-0.5,-0.96,4.55,0.15,0.09,0.07,1,2
KNR Constructions Ltd,Industrials,Construction & Engineering,8141.74,24.89,22.42,-6.87,26.37,16.93,15.32,0.91,3.71,2.26,0.36,10.47,2.33,48.93,6.81,1.77,0.58,18.56,-0.37,-0.56,-1.52,-0.47,-0.29,0,6.14,0.25,0.36,0.22,1,2
TVS Supply Chain Solutions Ltd,Industrials,Construction & Engineering,8107.8,-7.77,4.87,1.37,7.51,-1.09,-1.7,1.56,-187.12,1.09,1.19,-80.11,4.4,48.93,6.81,0.87,0.58,2.69,-0.7,-0.74,2.11,2.12,-2.97,-3.57,0.15,0,1.19,0.38,0,0
Spicejet Ltd,Industrials,Airlines,7811.87,,-1.65,-6.99,9.34,-4.96,-5.94,1.2,-1.2,0.28,,-18.48,-1.5,48.93,6.81,0.92,0.58,-,-1.22,-1.28,21.05,21.14,3.3,3.05,2.01,0,-1.03,0.83,0,2
Chemplast Sanmar Ltd,Industrials,Building Products - Pipes,7261.97,-8.9,-1.27,-6.12,2.66,-3.96,-2.67,0.67,-10.95,0.74,0.91,-45.84,4.27,48.93,6.81,1.81,0.58,0.68,-2.38,-2.15,2.14,2.59,-2.65,-2.41,1.51,0,0.91,0.26,0,0
Dilip Buildcon Ltd,Industrials,Construction & Engineering,7178.42,4.63,15.27,8.58,15.1,1.56,1.21,0.78,6.48,1.32,1.66,37,1.64,48.93,6.81,0.58,0.58,10.39,0.01,0.04,0.26,0.18,0.36,0.45,9.56,1,1.66,0.43,0,0
Responsive Industries Ltd,Industrials,Construction & Engineering,7142.44,15.29,16.6,20.36,23.63,14.59,11.2,0.77,3.3,1.96,0.19,44.29,6.28,48.93,6.81,6.46,0.58,13.63,0.01,0.01,-0.34,-0.3,-0.02,-0.02,1.85,0.1,0.19,0.14,1,2
Man Infraconstruction Ltd,Industrials,Building Products - Granite,7120.7,22.57,26.98,41.51,32.07,21.78,15.27,0.7,1.3,3.42,0.09,23.7,4.69,48.93,6.81,5.16,0.58,20.37,-0.4,-0.4,0.14,0.16,-0.4,-0.52,2.09,1.62,0.09,0.06,1,2
Ahluwalia Contracts (India) Ltd,Industrials,Construction & Engineering,6888,26.51,27.9,6.3,15.16,9.17,13.18,1.44,3.55,2.17,0.07,18.38,4.31,48.93,6.81,1.69,0.58,24.81,-0.07,-0.87,-0.4,-0.47,-0.36,-1.08,4.56,0.5,0.07,0.03,1,1
Greenlam Industries Ltd,Industrials,Construction & Engineering,6801.6,13.6,12.53,8.32,13.59,5.94,5.81,0.98,8.69,1.21,1.03,49.14,6.32,48.93,6.81,2.92,0.58,8.36,0.03,0.07,-0.05,0.37,0.03,0.07,2.7,1.65,1.03,0.41,0,2
National Highways Infra Trust,Industrials,Construction & Engineering,6746.84,2.7,1.95,82.55,78.25,30.19,1.55,0.05,-4.77,0.49,0.82,22.93,0.47,48.93,6.81,6.92,0.58,2.2,0,0.5,-1.51,0,1.56,3.58,0.49,0,0.82,0.43,0,2
Welspun Enterprises Ltd,Industrials,Industrial Machinery,6695.32,12.16,16.72,-11.25,19.14,9.63,5.88,0.61,2.07,1.88,0.31,22.69,2.69,48.93,6.81,2.19,0.58,12.45,0.02,0.03,0.01,0.16,-0.01,-0.16,4.29,3,0.31,0.15,1,1
Kennametal India Ltd,Industrials,Roads,6687.98,15.54,20.62,10.17,17.39,9.83,12.43,1.26,3,3.18,0,60.52,9.12,48.93,6.81,5.95,0.58,15.08,0.01,0.04,-0.1,-0.05,-0.01,0.09,13.78,30,0,0,1,1
Technocraft Industries (India) Ltd,Industrials,Construction & Engineering,6633.72,16.74,21.43,13.54,21.09,11.63,10.45,0.9,3.12,2,0.39,25.11,3.87,48.93,6.81,2.92,0.58,12.72,0.93,2,-0.08,-0.01,0.54,2.88,35.04,0,0.39,0.25,1,2
Hindustan Construction Company Ltd,Industrials,Building Products - Laminates,6551.54,,48.77,1.13,20.48,5.95,4.3,0.72,10.47,1.16,,13.7,-38.89,48.93,6.81,0.82,0.58,-,-0.21,-1.05,0.11,0.54,-0.62,-2.26,0.38,0,-13.19,0.25,0,2
Ashoka Buildcon Ltd,Industrials,Industrial Machinery,6546.75,22.96,17.06,7.41,25.19,4.97,2.79,0.56,-20.61,0.92,2.17,13.01,2.63,48.93,6.81,0.65,0.58,23.03,-0.65,0.95,0.33,0.72,-1.54,0.15,5.36,0,2.17,0.28,0,1
India Infrastructure Trust,Industrials,Heavy Electrical Equipments,6347.84,12.36,10.86,54.09,61.08,21.39,5.55,0.26,-1.14,1.15,0.98,7.72,0.97,48.93,6.81,1.65,0.58,10.95,0,-,0,-,0,-,-,0,0.98,0.44,1,1
Indinfravit Trust,Industrials,Heavy Electrical Equipments,6266.15,-3.22,5.53,42.78,63.27,-4.54,-0.88,0.19,-12.11,0.75,1.38,-39.88,1.02,48.93,6.81,1.81,0.58,8.13,0,0,0,7.8,0,-21.29,-9.54,12.35,1.38,0.39,0,0
GMM Pfaudler Ltd,Industrials,Construction & Engineering,6235.79,20.03,17.58,8.19,14.33,5.16,5.51,1.07,5.02,1.61,0.93,34.85,6.4,48.93,6.81,1.8,0.58,14.56,1.65,2.94,-7.58,-7.53,1.29,2.74,5.62,2,0.93,0.29,1,1
Inox Green Energy Services Ltd,Industrials,Industrial Machinery,6161.48,2.29,3.58,-3.01,41.98,10.69,1.33,0.12,3.45,1.51,0.13,220.76,4.56,48.93,6.81,23.59,0.58,3.5,1.98,1.95,-0.04,0.79,1.98,1.95,0.34,0,0.13,0.08,0,2
TD Power Systems Ltd,Industrials,Roads,6134.36,18.07,23.31,8.26,18.41,11.64,12.19,1.05,2.25,2.52,0,51.83,8.7,48.93,6.81,6.03,0.58,17.34,-1.53,-2.3,1.39,3.39,-1.89,-2.71,2.64,1.1,0,0,1,2
Ceigall India Ltd,Industrials,Construction & Engineering,6048.39,40.83,31.98,-6.88,18.08,9.98,13.85,1.39,6.5,1.52,1.18,19.76,6.67,48.93,6.81,1.97,0.58,20.29,-,4.59,-,2.97,-,6.87,4.95,-,1.18,0.41,0,2
Rolex Rings Ltd,Industrials,Construction & Engineering,5801.38,19.02,22.14,17.9,19.81,12.62,14.62,1.16,3.08,3.87,0.02,37.18,6.46,48.93,6.81,4.69,0.58,17.33,1.43,1.82,0.98,0.22,1.44,1.95,18.33,0,0.02,0.02,1,2
J Kumar Infraprojects Ltd,Industrials,Renewable Energy Equipment & Services,5798.25,13.27,19.18,6.9,14.93,6.74,7.3,1.08,3.92,1.81,0.22,17.53,2.19,48.93,6.81,1.18,0.58,14.05,-0.04,-0.1,-0.47,-0.14,-0.36,0.04,11.92,4,0.22,0.13,1,1
SIS Ltd,Industrials,Industrial Machinery,5778.59,8.01,14.23,3.2,4.76,1.54,3.27,2.12,15.79,1.19,0.69,30.41,2.39,48.93,6.81,0.47,0.58,8.31,2.3,2.38,-3.05,-3.3,2.22,2.35,4.77,0,0.69,0.28,0,1
Websol Energy System Ltd,Industrials,Business Support Services,5714.95,-80.91,-54.25,130.28,-416.67,-451.01,-39.03,0.09,-0.6,0.39,1.7,-47.25,53.05,48.93,6.81,213.09,0.58,-39.83,0,0,0.47,0.01,0,0,15.37,0,1.7,0.52,0,0
Allcargo Logistics Ltd,Industrials,Construction & Engineering,5475.08,5.22,8.26,-1.09,5.25,1.12,2.08,1.86,19.4,1.08,0.7,36.57,2.09,48.93,6.81,0.41,0.58,6.48,0,0.01,0.23,0.21,-0.09,-0.09,0.05,1,0.7,0.26,0,1
Bondada Engineering Ltd,Industrials,Logistics,5436.7,35.73,37.26,6.72,8.89,5.56,11.83,2.13,8.1,1.42,0.37,121.57,32.38,48.93,6.81,6.76,0.58,23.25,0,0,0.2,-0.16,0,0,-,0.03,0.37,0.12,1,1
Prince Pipes and Fittings Ltd,Industrials,Heavy Electrical Equipments,5369.95,12.55,15.54,1.26,13.12,7.01,9.01,1.28,3.73,2.43,0.08,29.42,3.48,48.93,6.81,2.06,0.58,11.29,0.38,0.89,0.83,2.11,-0.84,-1,2.23,1,0.08,0.06,1,1
Bharat Bijlee Ltd,Industrials,Industrial Machinery,5120.48,8.11,9.95,12.62,11.14,6.88,5.77,0.84,4.89,1.66,0.08,38.96,2.75,48.93,6.81,2.68,0.58,7.68,3.69,6.25,1.19,2.46,3.6,7.11,21.17,35,0.08,0.06,0,1
MTAR Technologies Ltd,Industrials,Building Products - Pipes,5022.73,8.66,11.92,9.78,20.2,9.57,5.42,0.57,1.65,2.72,0.28,89.52,7.43,48.93,6.81,8.56,0.58,9.04,0.94,-1.16,0.06,-2.76,1.33,-0.79,6.1,0,0.28,0.19,0,1
Cyient DLM Ltd,Industrials,Industrial Machinery,5022.46,11.06,10.95,-5.78,11.38,5.02,4.52,0.9,2.77,2.46,0.21,82.07,5.53,48.93,6.81,4.12,0.58,8.68,10.28,15.95,2.62,0.72,10.33,15.2,1.95,0,0.21,0.12,1,1
VRL Logistics Ltd,Industrials,Industrial Machinery,4865.44,9.25,10.93,14.57,14.29,3.05,4.33,1.42,-28.4,0.54,1.1,54.76,5.14,48.93,6.81,1.67,0.58,8.46,0.07,-0.88,0.1,0.67,-0.17,-1.09,1.54,0,1.1,0.47,0,1
Awfis Space Solutions Ltd,Industrials,Heavy Electrical Equipments,4814.08,-8.35,8.01,26.11,31.02,-2.01,-1.51,0.75,-5.8,0.65,2.92,-273.99,19.15,48.93,6.81,5.5,0.58,7.65,-1.21,3.39,-1.88,13.19,-1.65,0.2,0.43,0,2.92,0.52,0,0
WPIL Ltd,Industrials,Logistics,4730.69,38.48,48.98,-4.09,37.58,21.7,19.67,0.91,3.2,1.91,0.14,9.96,3.04,48.93,6.81,2.16,0.58,28.47,0,0,-0.13,-0.14,-0.01,-0.01,6.17,4,0.14,0.08,1,2
Marsons Ltd,Industrials,Business Support Services,4712.96,236.1,2.71,0.92,20.09,9.37,14,0.25,0.89,2.64,0.63,7601.55,331.43,48.93,6.81,711.93,0.58,36.68,0,0,0,0,0.01,0.01,0.43,0,0.63,0.3,0,2
TeamLease Services Ltd,Industrials,Employment Services,4698.12,13.75,12.78,1.26,1.93,1.2,6.06,5.07,29.67,1.31,0.13,41.89,5.79,48.93,6.81,0.5,0.58,13.36,1.74,0.24,-3.99,-2.29,2.79,0.55,16.77,0,0.13,0.05,0,2
MSTC Ltd,Industrials,Commodities Trading,4616.83,24.39,34.13,-32.47,37.95,21.26,8.28,0.39,2.12,1.39,0.16,22.59,5.19,48.93,6.81,4.8,0.58,19.81,-0.29,0.46,0.46,0.58,-0.3,0.44,8.79,15.5,0.16,0.06,1,2
Harsha Engineers International Ltd,Industrials,Industrial Machinery,4607.29,9.92,13.44,9.55,14.13,7.84,7.4,0.94,2.1,2.91,0.15,41.35,3.92,48.93,6.81,3.24,0.58,9.04,0.19,1.48,-0.2,-1.05,0.15,1.41,3.96,1,0.15,0.11,0,1
Shaily Engineering Plastics Ltd,Industrials,Industrial Machinery,4557.36,13.31,16.05,14.19,19.14,8.81,7.77,0.88,19.26,1.17,0.46,79.55,9.93,48.93,6.81,7.01,0.58,11.41,2.92,4.72,1.08,-3.52,2.86,4.66,4.78,1,0.46,0.27,1,1
Pitti Engineering Ltd,Industrials,Industrial Machinery,4545.17,24.05,22.54,5.81,17.83,7.12,7.82,1.1,11,1.25,1.48,50.38,10.92,48.93,6.81,3.59,0.58,13.58,11.46,11.36,0.5,0.79,11.64,11.65,6.41,1.5,1.48,0.46,0,2
Gateway Distriparks Ltd,Industrials,Construction & Engineering,4408.86,13.72,13.17,20.61,25.85,16.44,9.97,0.61,-19.04,0.74,0.26,17.21,2.26,48.93,6.81,2.83,0.58,12.33,-0.49,0.48,-1.31,-1.88,-0.72,0.24,0.97,2,0.26,0.19,1,1
EMS Ltd,Industrials,Logistics,4388.6,23.56,24.18,-14.34,27.14,18.83,18.94,1.01,2.07,6.14,0.09,28.8,5.48,48.93,6.81,5.42,0.58,18.21,0.08,0.09,-0.12,-2.02,-0.5,-0.36,6.68,2,0.09,0.07,1,2
Greaves Cotton Ltd,Industrials,Construction & Engineering,4271.62,-7.43,-15.05,-5.36,-6.28,-4.73,-5.24,1.11,3.07,1.72,0.05,-31.58,2.55,48.93,6.81,1.49,0.58,-7.18,0.27,0.28,-0.1,-1.77,0.04,0.06,0.44,2,0.05,0.03,0,0
LG Balakrishnan & Bros Ltd,Industrials,Construction & Engineering,4204.7,18.02,21.87,14.27,18.8,11.3,13.21,1.17,4.05,2.1,0.07,15.49,2.56,48.93,6.81,1.75,0.58,15.93,0.13,0.45,-1.02,-1.17,0.11,0.44,24.31,18,0.07,0.05,1,2
Ramky Infrastructure Ltd,Industrials,Agricultural & Farm Machinery,4152.21,18.04,21.32,15.95,28.88,13.26,6.92,0.52,-33.52,1.12,0.45,13.49,2.23,48.93,6.81,1.79,0.58,17.28,0.14,0.14,0.16,-0.15,0.2,0.2,9.77,0,0.45,0.2,1,2
Servotech Power Systems Ltd,Industrials,Industrial Machinery,4133.18,10.49,11.9,0.21,6.3,3.31,5.31,1.6,4.62,1.88,0.51,351.46,29.09,48.93,6.81,11.63,0.58,6.96,0,0,3.08,0.7,0,0,0.51,0.05,0.51,0.26,0,1
Jain Irrigation Systems Ltd,Industrials,Industrial Machinery,4116.96,0.83,6.93,6.83,9.47,0.58,0.41,0.71,6.04,1.36,0.73,91,0.74,48.93,6.81,0.53,0.58,4.82,0.02,0.04,0.2,-0.09,0.02,0.04,-0.14,0,0.73,0.36,0,0
Patel Engineering Ltd,Industrials,Electrical Components & Equipments,4102.61,9.46,15.17,14.47,17.94,6.11,3.27,0.54,2.71,1.45,0.6,14.14,1.3,48.93,6.81,0.86,0.58,12.86,-1.33,0.36,-0.6,-0.28,-1.77,-0.05,0.63,0,0.6,0.21,0,1
Paras Defence and Space Technologies Ltd,Industrials,Industrial Machinery,4061.2,7.48,10.31,-17.4,23.58,12.25,5.53,0.45,1.13,2.35,0.15,126.67,9.16,48.93,6.81,15.51,0.58,7.85,0.56,-2.12,0.49,3.34,0.56,-2.12,3.55,0,0.15,0.1,0,1
Shrem InvIT,Industrials,Aerospace & Defense Equipments,4060.89,17.82,11.1,-88.81,75.85,51.3,7.81,0.15,2.19,2.27,1.21,3.89,0.67,48.93,6.81,2,0.58,11.92,0,0,0,0,-0.01,0.1,4.65,13.85,1.21,0.52,0,2
Rajoo Engineers Ltd,Industrials,Construction & Engineering,4053.15,17.85,20.68,0.96,15.21,10.44,10.31,0.99,2.95,1.74,0.01,192.82,32,48.93,6.81,20.14,0.58,16.94,0,0,-0.09,-0.18,0,0,0.64,0,0.01,0.01,1,2
Balmer Lawrie and Company Ltd,Industrials,Conglomerates,4050.23,14.69,13.72,11.47,14.88,10.94,9.45,0.86,3.26,2.08,0.06,15.48,2.19,48.93,6.81,1.69,0.58,14.46,0.02,0.02,0.16,0.51,-0.03,-0.19,3.73,8.5,0.06,0.04,1,1
SEPC Ltd,Industrials,Construction & Engineering,4034.24,1.98,4.65,-19.9,13.15,3.75,1.08,0.29,0.78,2.43,0.38,177.1,3.33,48.93,6.81,6.64,0.58,4.47,0,0,0.11,0.28,-5.92,-6.15,0.06,0,0.38,0.21,0,1
Oriana Power Ltd,Industrials,Roads,4030.74,60.22,28.53,0.7,21.69,14.08,19.61,1.39,8.86,1.67,1.23,74.18,27.11,48.93,6.81,10.45,0.58,18.17,-,0,-,-1.58,-,-2.01,-,0,1.23,0.45,0,2
VST Tillers Tractors Ltd,Industrials,Cables,3903.34,13.85,16.11,4.73,17.96,11.77,10.72,0.91,1.67,4.6,0,32.24,4.23,48.93,6.81,3.79,0.58,13.37,0.06,0.65,0.1,1.01,1.13,2.24,26,0,0,0,1,1
Artemis Medicare Services Ltd,Industrials,Construction & Engineering,3852.17,11.39,12.67,12.29,15.81,5.55,5.24,0.94,-44.31,0.98,0.7,78.41,8.47,48.93,6.81,4.35,0.58,10.38,-0.01,0.43,0.05,0.11,0.15,1,1.14,0.45,0.7,0.33,1,1
Honda India Power Products Ltd,Industrials,Tractors,3823.68,11.91,15.28,10.21,13.97,8.91,9.55,1.07,1.8,4.22,0,41.47,4.71,48.93,6.81,3.7,0.58,11.41,1.02,2.64,-0.01,-0.04,1.02,2.64,15.92,17.5,0,0,1,1
Stylam Industries Ltd,Industrials,Business Support Services,3807.47,27.09,30.48,12.28,20.56,13.96,22.43,1.61,3.14,6.74,0,29.64,7.1,48.93,6.81,4.14,0.58,24.39,1.11,0.61,-0.22,0.05,-3.35,-3.31,19.66,2.5,0,0,1,2
DCX Systems Ltd,Industrials,Industrial Machinery,3759.29,8.95,10.83,0.3,8.79,5.14,4.94,0.96,1.81,2.55,0.26,49.61,3.34,48.93,6.81,2.55,0.58,7.45,-0.78,-0.79,-0.51,-1.53,-0.99,-3.29,0.26,0,0.26,0.16,0,1
TCI Express Ltd,Industrials,Logistics,3751.46,20.25,24.32,10.79,15.41,10.44,16.61,1.59,5.89,2.96,0.01,28.49,5.33,48.93,6.81,2.98,0.58,18.64,-0.21,1.59,0.14,-0.67,-0.1,1.18,6.49,6,0.01,0.01,1,2
IRB InvIT Fund,Industrials,Roads,3730.87,9.42,5.66,90.91,81.6,34.36,2.97,0.09,14.36,1,0.78,10,0.95,48.93,6.81,3.44,0.58,9.27,-0.06,-0.66,-1.2,-0.83,0.01,-0.58,1.76,0.3,0.78,0.24,0,1
Hi-Tech Pipes Ltd,Industrials,Construction & Engineering,3674.42,8.83,14.1,-3.52,4.3,1.63,4.2,2.58,12.76,1.54,0.7,83.64,6.37,48.93,6.81,1.36,0.58,8.77,2.79,2.35,4.26,11.02,7.02,6.39,1.16,0.03,0.7,0.34,0,1
Swaraj Engines Ltd,Industrials,Building Products - Pipes,3631.06,38.79,49.2,9.93,14.13,9.62,25.23,2.62,6.47,2.34,0,26.34,9.85,48.93,6.81,2.53,0.58,37.35,0.05,-0.65,0.37,0.68,0.05,-0.65,37.39,95,0,0,1,1
Vishnu Prakash R Punglia Ltd,Industrials,Tractors,3609.69,23.6,27.67,-21.33,14.77,8.24,10.32,1.25,3.81,1.7,0.55,29.54,5.01,48.93,6.81,2.43,0.58,14.82,0,0,-0.98,-1,0,-0.06,1.18,0,0.55,0.26,1,1
JNK India Ltd,Industrials,Construction & Engineering,3603.96,39.43,46.13,-2.07,21.53,12.91,14.47,1.12,3.51,1.5,0.34,57.53,18.45,48.93,6.81,7.42,0.58,27.83,0.2,12.21,-0.09,-1.2,0.13,9.2,1.33,0.3,0.34,0.12,1,2
Sanghvi Movers Ltd,Industrials,Business Support Services,3431.01,20.28,22.68,47.08,63.27,29.06,14.77,0.51,4.94,1.81,0.29,18.25,3.39,48.93,6.81,5.31,0.58,16.32,0.66,1.64,0.53,0.46,0.3,1.04,4.68,3,0.29,0.21,1,2
Sindhu Trade Links Ltd,Industrials,Electrical Components & Equipments,3424.62,2.82,5.84,37.3,16.17,3.1,1.18,0.38,-15.97,1.26,0.47,60.23,1.57,48.93,6.81,1.87,0.58,6.56,0.01,0.03,-0.05,-0.06,0.01,0.03,0.13,0,0.47,0.22,0,1
Precision Wires India Ltd,Industrials,Logistics,3419.69,15.23,25.52,1.8,4.62,2.19,7.32,3.34,9.33,1.71,0.19,46.94,6.75,48.93,6.81,1.03,0.58,18.18,0,0,0,0.18,-0.03,0,1.24,0.6,0.19,0.09,0,2
HPL Electric & Power Ltd,Industrials,Electrical Components & Equipments,3337.84,5.23,16.44,6.84,13.4,2.97,2.44,0.82,3.44,1.51,0.71,76.61,3.92,48.93,6.81,2.28,0.58,9.15,0,0,-0.23,0.27,0,-0.1,2.65,1,0.71,0.32,0,1
Capacite Infraprojects Ltd,Industrials,Construction & Engineering,3310.98,9.29,14.56,-1.98,18.55,6.12,4.18,0.68,2.56,1.75,0.22,27.53,2.18,48.93,6.81,1.69,0.58,11.7,-0.68,-0.75,-0.15,3.16,-0.53,-0.63,6.32,0,0.22,0.1,0,1
Jash Engineering Ltd,Industrials,Construction & Engineering,3077.77,22.63,25.29,11.17,20.12,12.79,12.68,0.99,3.13,1.9,0.23,46.1,8.76,48.93,6.81,5.9,0.58,18.04,-3.3,-3.34,-0.09,0.4,-2.93,-3,0.4,7.2,0.23,0.13,1,2
Wendt (India) Limited,Industrials,Construction & Engineering,3042.06,20.43,25.38,12.74,26.83,17.5,16.91,0.97,1.71,4.43,0,74.29,14.34,48.93,6.81,13,0.58,19.31,-0.06,-0.06,0,-0.01,-0.06,-0.06,53.45,50,0,0,1,2
Gensol Engineering Ltd,Industrials,Industrial Machinery,3013.21,22.86,12.58,-9.85,26.36,5.98,3.51,0.59,3.49,1.36,4.82,50.6,9.63,48.93,6.81,3.03,0.58,9.32,0,0,0.32,-0.1,0,-0.09,7.75,0,4.82,0.65,0,2
